seq,timestamp,method,status,domain,path,mime,size,url
1,"2026-02-11T17:09:29.605Z","GET",200,"otakudesu.best","/anime-list/","text/html",53791,"https://otakudesu.best/anime-list/"
28,"2026-02-11T17:09:41.067Z","GET",200,"otakudesu.best","/ongoing-anime/","text/html",9166,"https://otakudesu.best/ongoing-anime/"
79,"2026-02-11T17:09:42.668Z","GET",200,"web.facebook.com","/v3.2/plugins/page.php","text/html",0,"https://web.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Df27f12bd0cdd3e836%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Ff5378d3218784e6ee%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false&_rdc=1&_rdr"
85,"2026-02-11T17:09:45.066Z","GET",200,"otakudesu.best","/jadwal-rilis/","text/html",9010,"https://otakudesu.best/jadwal-rilis/"
112,"2026-02-11T17:09:47.374Z","GET",200,"otakudesu.best","/genre-list/","text/html",7647,"https://otakudesu.best/genre-list/"
143,"2026-02-11T17:09:48.500Z","GET",200,"web.facebook.com","/v3.2/plugins/page.php","text/html",0,"https://web.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Dffda53f5aa4e6b9af%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Ffc66200ac65395bbd%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false&_rdc=1&_rdr"
144,"2026-02-11T17:09:50.448Z","GET",200,"otakudesu.best","/","text/html",0,"https://otakudesu.best/"
177,"2026-02-11T17:09:51.056Z","GET",200,"web.facebook.com","/v3.2/plugins/page.php","text/html",0,"https://web.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Df5d9eef7a905eafe6%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Fffb8e28a3eefa20c3%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false&_rdc=1&_rdr"
197,"2026-02-11T17:09:59.514Z","GET",200,"otakudesu.best","/anime/shibou-yuugi-meshi-kuu-sub-indo/","text/html",9805,"https://otakudesu.best/anime/shibou-yuugi-meshi-kuu-sub-indo/"
230,"2026-02-11T17:10:01.085Z","GET",200,"otakudesu.best","/","text/html",0,"https://otakudesu.best/"
283,"2026-02-11T17:10:01.709Z","GET",200,"web.facebook.com","/v3.2/plugins/page.php","text/html",0,"https://web.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Dfce0021f1f3a9c697%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Ff8237ecdaf998f181%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false&_rdc=1&_rdr"
284,"2026-02-11T17:10:02.433Z","GET",200,"otakudesu.best","/anime/oshi-ko-s3-sub-indo/","text/html",9202,"https://otakudesu.best/anime/oshi-ko-s3-sub-indo/"
321,"","",200,"otakudesu.best","/episode/onk-s3-episode-1-sub-indo/","text/html",12813,"https://otakudesu.best/episode/onk-s3-episode-1-sub-indo/"
353,"2026-02-11T17:10:05.545Z","GET",pending,"str.desustream.com","/dstream/ondesu3/v5/index.php","",0,"https://str.desustream.com/dstream/ondesu3/v5/index.php?id=K090VHplWG9mbHVvdzN6NkhzNEdjQT09"
360,"","",200,"otakudesu.best","/episode/onk-s3-episode-2-sub-indo/","text/html",12970,"https://otakudesu.best/episode/onk-s3-episode-2-sub-indo/"
392,"2026-02-11T17:10:07.263Z","GET",pending,"str.desustream.com","/dstream/ondesu/v5/index.php","",0,"https://str.desustream.com/dstream/ondesu/v5/index.php?id=SnVaN2hmYUhyb0hud3BKZ0RmbXRiQT09"
395,"2026-02-11T17:10:12.430Z","GET",200,"otakudesu.best","/genre-list/","text/html",0,"https://otakudesu.best/genre-list/"
428,"2026-02-11T17:10:12.667Z","GET",pending,"www.facebook.com","/v3.2/plugins/page.php","",0,"https://www.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Dfe934943a54466739%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Ff7e8dd637909b426a%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false"
429,"","",200,"otakudesu.best","/genres/romance/","text/html",8965,"https://otakudesu.best/genres/romance/"
469,"2026-02-11T17:10:18.734Z","GET",200,"otakudesu.best","/genres/romance/page/2/","text/html",9686,"https://otakudesu.best/genres/romance/page/2/"
507,"2026-02-11T17:10:21.653Z","GET",200,"otakudesu.best","/genres/romance/page/3/","text/html",9987,"https://otakudesu.best/genres/romance/page/3/"
545,"2026-02-11T17:10:23.278Z","GET",200,"otakudesu.best","/","text/html",0,"https://otakudesu.best/"
598,"2026-02-11T17:10:23.892Z","GET",200,"web.facebook.com","/v3.2/plugins/page.php","text/html",0,"https://web.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Dfed4a97ab0263a6dc%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Ff11ed49dec48dc577%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false&_rdc=1&_rdr"
599,"2026-02-11T17:10:29.563Z","GET",200,"otakudesu.best","/anime-list/","text/html",0,"https://otakudesu.best/anime-list/"
630,"2026-02-11T17:10:39.380Z","GET",200,"otakudesu.best","/","text/html",0,"https://otakudesu.best/"
683,"2026-02-11T17:10:40.013Z","GET",200,"web.facebook.com","/v3.2/plugins/page.php","text/html",0,"https://web.facebook.com/v3.2/plugins/page.php?adapt_container_width=true&app_id=261584831025934&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fx%2Fconnect%2Fxd_arbiter%2F%3Fversion%3D46%23cb%3Df43929ce450e2964f%26domain%3Dotakudesu.best%26is_canvas%3Dfalse%26origin%3Dhttps%253A%252F%252Fotakudesu.best%252Ff1dedd3aa688919c7%26relation%3Dparent.parent&container_width=392&hide_cover=false&href=https%3A%2F%2Fwww.facebook.com%2Fotakudesu.fanshare%2F&locale=id_ID&sdk=joey&show_facepile=true&small_header=false&_rdc=1&_rdr"
684,"2026-02-11T17:10:41.166Z","GET",200,"otakudesu.best","/anime/oshi-ko-s3-sub-indo/","text/html",0,"https://otakudesu.best/anime/oshi-ko-s3-sub-indo/"
717,"","",200,"otakudesu.best","/episode/onk-s3-episode-1-sub-indo/","text/html",0,"https://otakudesu.best/episode/onk-s3-episode-1-sub-indo/"
753,"2026-02-11T17:10:44.701Z","GET",200,"str.desustream.com","/dstream/ondesu3/v5/index.php","text/html",2363,"https://str.desustream.com/dstream/ondesu3/v5/index.php?id=K090VHplWG9mbHVvdzN6NkhzNEdjQT09"
758,"2026-02-11T17:10:47.234Z","GET",200,"www.blogger.com","/video.g","text/html",1305,"https://www.blogger.com/video.g?token=AD6v5dwGTlPF8EtThHfX1eMQBKqYaF-RCfo0BZYDugueOvUei5gjecBv1TxeEDl2BdOiYqmNmIgtp9qv0VSaJueDj9PbmF_aFh-rYGI32cYpNwRXHciXghkA0eZa1INvaE5_3Fn_x7I9"
765,"2026-02-11T17:10:50.013Z","GET",200,"youtube.googleapis.com","/embed/","text/html",46470,"https://youtube.googleapis.com/embed/?autohide=1&enablecastapi=0&html5=1&ps=blogger&widget_referrer=https%3A%2F%2Fstr.desustream.com%2F&enablejsapi=1&origin=https%3A%2F%2Fwww.blogger.com&widgetid=1&forigin=https%3A%2F%2Fwww.blogger.com%2Fvideo.g%3Ftoken%3DAD6v5dwGTlPF8EtThHfX1eMQBKqYaF-RCfo0BZYDugueOvUei5gjecBv1TxeEDl2BdOiYqmNmIgtp9qv0VSaJueDj9PbmF_aFh-rYGI32cYpNwRXHciXghkA0eZa1INvaE5_3Fn_x7I9&aoriginsup=1&aorigins=https%3A%2F%2Fstr.desustream.com%2Chttps%3A%2F%2Fotakudesu.best&gporigin=https%3A%2F%2Fstr.desustream.com%2F&vf=5"
779,"2026-02-11T17:10:51.846Z","OPTIONS",200,"jnn-pa.googleapis.com","/$rpc/google.internal.waa.v1.Waa/GenerateIT","text/html",0,"https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT"
799,"2026-02-11T17:11:01.399Z","GET",200,"filedon.co","/embed/QvvubTKG5k","text/html",14950,"https://filedon.co/embed/QvvubTKG5k"
824,"2026-02-11T17:11:10.119Z","GET",200,"odvidhide.com","/embed/yblec6u1eavr","text/html",32147,"https://odvidhide.com/embed/yblec6u1eavr"
846,"2026-02-11T17:11:12.782Z","GET",200,"odvidhide.com","/embed/7vh4zo2k5378","text/html",32014,"https://odvidhide.com/embed/7vh4zo2k5378"
872,"2026-02-11T17:11:14.659Z","GET",200,"mega.nz","/embed/sixEgCCa","text/html",1653,"https://mega.nz/embed/sixEgCCa"
883,"2026-02-11T17:11:24.814Z","GET",200,"mega.nz","/embed/sixEgCCa","text/html",1653,"https://mega.nz/embed/sixEgCCa"
894,"2026-02-11T17:11:29.653Z","GET",200,"mega.nz","/embed/piZjzKTR","text/html",1653,"https://mega.nz/embed/piZjzKTR"
